journey_id,pet_id,current_month,total_months,pet_name,species,breed,age_months,weight_lbs,activity_level,chew_strength,allergies,brand_preferences,household_type,yard_access,zip_code,gender,height_at_shoulder_inches,about,appearance,budget_band
07992e38-2158-4eb2-8b40-7b4c412596c6,01bbd728-ba45-4ff6-a96a-63c5ca5b5718,1,15,Taz,dog,Pitbull,2,10.0,high,light,chicken,Mars,apartment,small_yard,98052,male,2.0,Very energetic,Taz is very energetic and loves wearing my red tie. Taz has beautiful blue eyes.,moderate
07b1ddb7-9760-4c2c-a58d-0242585476ae,5663e2cf-59ac-4a92-96b3-d607a1b98665,1,15,Bruno,dog,Sarabi,6,12.0,medium,light,Chicken,Mars,apartment,no_yard,98052,female,12.0,Very energetic and loves to play in our yard,Golden fur with black spots. Loves to wear yellow glasses and play with blue ball. He looks very cute in a cap. ,moderate
08b480ef-cb46-4287-9bf0-1d33e1e10354,160227c8-8ee7-4a68-b81d-d93ab9b0624a,2,15,pegu,dog,shiba inu,1,1.0,medium,average,,,house,small_yard,90210,male,,,Loves to wear my green glasses,
0a635ed9-cce0-4dfa-a6d4-fe4a13135100,c4dde72b-5b39-4f03-a095-07b2bd9cd0b4,2,15,loooona,dog,pug,2,2.0,medium,average,,,apartment,no_yard,98121,male,2.0,,,
149ef628-0a62-452d-ae80-b671947711c3,39b3d325-0b00-4d8d-bc03-8fdd633bee98,2,15,Max,dog,Golden Retriever,6,10.0,low,light,Chicken,Mars,apartment,no_yard,98021,male,6.0,Very energetic,"Golden fur white patches, trimmed hair and loves wearing blue glasses.",budget
197f25bb-c9ec-448e-81e5-bdeb937516e3,4b138556-031c-418a-9662-8cad8bf06f11,1,15,Bruni,dog,Cavapoo,1,12.0,medium,average,none,Mars,apartment,small_yard,98052,female,12.0,Very energetic,White fur with muscular built and blue eyes. I think it is mix of cavapoo and pitbull and hence the muscular structure,moderate
1c4083d7-bc29-4365-99c4-64dcff316555,d3764777-be9e-455f-9133-c630f6218a07,1,15,AJ,dog,Pug,5,40.0,high,strong,Duck,Mars,apartment,large_yard,98052,male,6.0,AJ is very energetic and very strong.,AJ is heavyweight cute pug and loves wearing my orange glasses,moderate
20e5d982-bce4-4680-974e-3be18a65d5a1,b9995569-39ce-4942-b394-e6a30d55498b,1,15,Bruno,dog,Golden Retriever,10,22.0,medium,light,asd,Nestle,apartment,no_yard,90210,male,20.0,Very energetic,3 months old pup with golden fur and loves to wear my blue glasses,moderate
2550c169-dfb0-4dfb-914e-b65bc7f670e0,6e8812e1-8d78-4883-8755-14f62b5135e4,3,15,Max,dog,Sarabi,10,10.0,low,light,None,Mars,apartment,no_yard,98087,male,4.0,Very energetic,Golden Fur loves to wear my blue glasses and play with an orange ball,moderate
265c9d46-e8fc-49fa-829f-ec88f99190c8,b948151f-ecb1-4ad3-aa15-171d3a066e24,5,15,Bruno,dog,Sarabi,5,12.0,low,average,Chicken,Mars,apartment,no_yard,98052,female,12.0,Very energetic,Golden fur with white spots and loves to wear blue glasses and playing with red ball. ,moderate
27e07160-4835-49f0-b837-205b638477b2,cb3043b0-b778-4afd-9755-62c579156e37,9,15,Bruno,dog,Pug,12,150.0,low,strong,chicken,Mars,apartment,no_yard,90210,male,50.0,Loves to play fetch,golden fur sitting in the corner wearing yellow glasses and sipping milk.,moderate
38f21c46-1f85-4905-ba98-4d30a6b9a77a,e00ddf3c-3ddb-44c7-a7b3-4a3ddbc809a2,2,15,tester,dog,asd,1,1.0,medium,average,asd,,apartment,small_yard,asd,female,1.0,as,,
3ae58e21-b256-4c47-9a11-e27ad41a267b,86b0915c-119c-4714-abe2-fb1ce3f13ac6,3,15,Luna,dog,Sarabi,10,10.0,low,light,chicken,Mars,apartment,no_yard,98021,female,10.0,Very energetic,Golden baby with black spots near the head. Loves wearing yellow glasses and plays with blue ball. ,moderate
3c5261ca-fdd5-46ed-bb86-0aa59bc6318d,d1887869-cc98-4bee-b4f3-54be62d634e6,8,15,lunnytoon,dog,Bulldog,1,12.0,high,strong,Turkey,Acana,apartment,no_yard,98201,male,5.0,Very energetic,Black colored bulldog and loves wo wear my red sunglasses.,
41fd69b7-be0f-4b65-9238-284301ccd399,cc7b5322-bd45-43aa-86b1-658cf90e5c05,2,15,luni,dog,persian,12,14.0,medium,average,chicken,Mars,apartment,small_yard,98021,female,14.0,very energetic,golden fur with blue eyes and plays with blue chew toy,budget
42083dcd-18b0-48d6-872a-791ac1b83206,00a9ec20-36c1-4b1b-88bc-c1ae34b31a2f,1,15,Bruno,dog,Golden Retriever,3,6.0,high,light,chicken,Nestle,apartment,no_yard,90210,female,4.0,Very energetic,3 months old pup with golden fur and loves to wear his father's blue glasses,moderate
69e0042c-8eb9-4834-aa6d-00ceb0c2338c,030ba2d0-5ac6-4bec-8d9f-e38957dbeb19,1,15,Bruno,dog,Sarabi,1,12.0,medium,average,Chicken,Mars,apartment,small_yard,98052,male,12.0,Very energetic and loves to play in our frontyard,"Golden fur, probably a mixed breed with bull dog and hence muscular. Loves to play with red ball and wear a blue cap all day around",moderate
6db4416f-0e31-49ec-bb3c-6f4a6e3f796f,1b4048b1-719e-4ac8-b1d8-7d5a6f2a3431,1,15,Looneytoon,dog,Sarabi,3,13.0,high,average,Turkey,Royal Canin,apartment,no_yard,98052,male,4.0,Very energetic and loves running around in my apartment. Chews off eveything it finds ,Looneytoon is really cute sarabi pup. He black colored with white patch  on the upper half of the body. He loves to wear my yellow sunglasses which are big for his face as he loves to pose for photos. ,
8c2770da-b657-4bb0-b251-23ff3adb4648,acc7d828-04b1-455c-9715-853aca31d677,2,15,Taz,dog,Pitbull,2,11.0,high,average,chicken,Mars,apartment,small_yard,98052,male,4.0,Taz is super energetic ,Taz is a white color pitbull and loves wearing my red tie. Taz has beautiful blue eyes.,moderate
91b7aa35-8fad-4058-9727-bf940165e17e,afb1d25a-db66-47b6-906b-2ebe6d2203a7,1,15,Max,dog,Golden Retreiver,10,10.0,low,average,chicken,Mars,apartment,no_yard,90210,female,4.0,Very energetic,Golden fur loves wearing glasses,moderate
921d0ac7-5895-4217-a697-ce47e330af23,61382c5c-5134-48d1-8b40-b32d40c8f25c,1,15,sassy,dog,pitbull,2,5.0,medium,strong,Beef,,house,large_yard,98052,female,2.0,Sassy is very sassy and energetic,Sassy is actually very sassy and loves to pose for the photos,
a11a5c83-063d-48c2-86de-453f235448f3,6e42e401-0126-4cb9-a8de-4604f6a204ae,2,15,Mario,dog,Golden Retriever,1,30.0,low,light,Beef,,apartment,no_yard,98052,male,2.0,Light on energy. Rescue dog,Mario is cute looking golden retriever with black patch on the lower body. He loves to play with blue ball,
a92b241b-da93-452f-9772-0f1a96d0eae3,f5c8685f-82d1-407a-87f2-3e13e95c2ef9,1,15,Bruno,dog,Golden Retriever,1,5.0,high,light,chicken,Nestle,apartment,no_yard,90210,male,5.0,Very energetic,1 month old pup with golden fur and loves to wear my blue glasses,moderate
a967a1c1-41c5-46c0-8da3-d7af543a4ee1,2d1389f6-50d2-40ba-9ac0-1ba54c6f6e5b,3,15,Bruno,dog,pug,10,15.0,low,light,chicken,Mars,apartment,no_yard,98121,male,14.0,Very energetic,golden fur with white fur spots on head. Loves wearing yellow glasses and pay with chew toy,moderate
acaa135a-80f5-4ad6-b776-80191b182ac9,fc21885c-7495-4447-9ee6-fb89c6651f53,5,15,bruno,dog,pug,10,10.0,low,light,chicken,Mars,apartment,no_yard,90210,female,10.0,Very energetic,White fur with yellow patches. Loves to wear blue glasses and enjouys playing with yellow ball. ,moderate
c8089c32-e70c-4617-aaff-dc171e30df99,b49105b8-07f9-454c-bdf6-8c5cccd65dcf,6,15,bruno,dog,Sarabi,6,200.0,high,average,chicken,Mars,apartment,small_yard,98021,female,12.0,Very Energetic,"Golden fur with white spots, loves wearing yellow glasses and play with blue ball.",moderate
efbefae5-293d-4f6c-87e6-67d0630c1274,7ba69885-8b9e-4f62-a211-420fb063495b,3,15,Max,dog,Sarabi,10,12.0,low,light,None,Mars,apartment,no_yard,90210,male,11.0,Very energetic,"Golden fur, loves wearing blue glasses",moderate
f4609de9-2ce2-4b53-8c7d-733745698e8c,3fedf77a-ecee-4ff7-93b0-deb0974567ee,1,15,luna,dog,Sarabi,5,12.0,medium,average,chicken,Acana,apartment,no_yard,98052,male,12.0,Very energetic,wears yellow glasses,budget
