PRODUCT_CATEGORY_LEVEL1,PRODUCT_CATEGORY_LEVEL2,PRODUCT_CATEGORY_LEVEL3,PRODUCT_MERCH_CLASSIFICATION1,PRODUCT_MERCH_CLASSIFICATION2,PRODUCT_MERCH_CLASSIFICATION3,PRODUCT_MERCH_CLASSIFICATION4
Dog,Grooming,Grooming Tools,Hard Goods,Beauty & Grooming,"Nail Clipper, Grinder & Accessories",Nail Clippers
Dog,Food,Wet Food,Science,Science Food,Wet Food,
Dog,Health & Wellness,Medications,Healthcare,Over the Counter,"Hip, Joint & Pain Care",
Dog,Food,Dry Food,Science,Science Food,Dry Food,
Dog,Leashes & Collars,Collars,Hard Goods,Personalized & Gifting,Personalized Pet Products,"Personalized Leashes, Collars, & Harnesses"
Cat,Grooming,Grooming Tools,Hard Goods,Beauty & Grooming,"Nail Clipper, Grinder & Accessories",Nail Care Accessories
Dog,Grooming,Towels & Accessories,Hard Goods,Beauty & Grooming,"Clippers, Blades and Shears",Hair Removal
Dog,"Beds, Crates & Gear",Strollers & Bicycle Trailers,Hard Goods,Containment & Gear,Gear,Strollers & Bicycle Trailers
Dog,Dog Apparel,Outdoor Apparel,Hard Goods,Apparel,Apparel,Seasonal Apparel
Dog,"Beds, Crates & Gear",Beds,Hard Goods,Beds & Furniture,Beds,Pillow Beds
Dog,"Beds, Crates & Gear",Pools,Hard Goods,Containment & Gear,Gear,Pools
Cat,Health & Wellness,Vitamins & Supplements,Healthcare,Health & Wellness,Other Supplements,
Dog,Health & Wellness,Medications,Healthcare,Over the Counter,Other,
Dog,Health & Wellness,Supplies & Devices,Healthcare,Over the Counter,Wound Care,
Dog,Training,Cameras,Hard Goods,Technology,Cameras,Treat Dispensing Cameras
Dog,Food,Dry Food,Dog Consumables,Dog Food,Dry Food,Premium Natural
Dog,Waste Management,Poop Bags,Hard Goods,Waste Management,Poop Bags,Poop Bags
Cat,Health & Wellness,Vitamins & Supplements,Healthcare,Health & Wellness,Stress & Anxiety Management,
Cat,Bowls & Feeders,Placemats,Hard Goods,Bowls & Feeders,Storage & Accessories,Placemats
Cat,Treats,Catnip & Pet Grass,Consumables,Core Treats,Catnip & Pet Grass,
Cat,Toys,Toys,Hard Goods,Toys,Chew Toys,Dental Chew Toys
Dog,Toys,Toys,Hard Goods,Toys,Interactive Toys,Laser Toys
Cat,Grooming,"Sprays, Foams & Wipes",Hard Goods,Beauty & Grooming,Eye & Ear Grooming,Ear Cleaners
Dog,Grooming,Grooming Tools,Hard Goods,Beauty & Grooming,Brushes & Combs,Combs
Dog,Treats,Jerky Treats,Dog Consumables,Dog Treats,Indulgent,Jerky
Dog,Leashes & Collars,Collars,Hard Goods,"Leashes, Collars & Harnesses",Collars,Standard Pattern/Graphic Collars
Dog,Toys,Toys,Hard Goods,Toys,Fetch Toys,Football Fetch Toys
Dog,Grooming,Creams & Rinses,Healthcare,Over the Counter,Eye & Ear Care,
