zip5,lat,lon,state,temp_1_f,temp_2_f,temp_3_f,temp_4_f,temp_5_f,temp_6_f,temp_7_f,temp_1_c,temp_2_c,temp_3_c,temp_4_c,temp_5_c,temp_6_c,temp_7_c,warnings
00210,43.005895,-71.013202,NH,79,67,87,68,72,84,72,26.1,19.4,30.6,20,22.2,28.9,22.2,
00211,43.005895,-71.013202,NH,73,62,72,79,77,67,73,22.8,16.7,22.2,26.1,25,19.4,22.8,
00212,43.005895,-71.013202,NH,75,72,72,74,81,72,69,23.9,22.2,22.2,23.3,27.2,22.2,20.6,
00213,43.005895,-71.013202,NH,77,68,72,69,65,81,63,25,20,22.2,20.6,18.3,27.2,17.2,
00214,43.005895,-71.013202,NH,71,84,80,74,66,81,68,21.7,28.9,26.7,23.3,18.9,27.2,20,
00215,43.005895,-71.013202,NH,74,77,64,80,81,79,73,23.3,25,17.8,26.7,27.2,26.1,22.8,
00500,42.33839,-67.84835,NY,67,60,77,63,82,78,48,19.4,15.6,25,17.2,27.8,25.6,8.9,
00501,40.922326,-72.637078,NY,72,86,82,77,73,85,72,22.2,30,27.8,25,22.8,29.4,22.2,
00502,41.5385,-66.79041,NY,75,67,79,77,73,79,76,23.9,19.4,26.1,25,22.8,26.1,24.4,
00503,42.89562,-69.50145,NY,75,74,80,69,77,69,65,23.9,23.3,26.7,20.6,25,20.6,18.3,
00504,45.26043,-72.7227,NY,65,63,86,84,71,68,70,18.3,17.2,30,28.9,21.7,20,21.1,
00505,43.80481,-68.38648,NY,94,70,78,72,79,72,78,34.4,21.1,25.6,22.2,26.1,22.2,25.6,
00506,41.00835,-70.50979,NY,84,72,65,74,76,85,77,28.9,22.2,18.3,23.3,24.4,29.4,25,
00507,45.39315,-70.97924,NY,66,84,66,87,67,55,76,18.9,28.9,18.9,30.6,19.4,12.8,24.4,
00508,42.57729,-70.41343,NY,78,58,61,81,84,83,80,25.6,14.4,16.1,27.2,28.9,28.3,26.7,
00509,41.46382,-72.8626,NY,74,65,75,59,72,85,74,23.3,18.3,23.9,15,22.2,29.4,23.3,
00510,42.45901,-70.5549,NY,87,76,71,80,79,71,73,30.6,24.4,21.7,26.7,26.1,21.7,22.8,
00511,42.32661,-67.2973,NY,74,87,76,75,73,62,79,23.3,30.6,24.4,23.9,22.8,16.7,26.1,
00512,42.71731,-67.58803,NY,79,79,71,74,82,70,74,26.1,26.1,21.7,23.3,27.8,21.1,23.3,
00513,45.10636,-68.88995,NY,81,74,79,74,73,66,92,27.2,23.3,26.1,23.3,22.8,18.9,33.3,
00514,45.04669,-71.47789,NY,73,66,78,71,79,68,83,22.8,18.9,25.6,21.7,26.1,20,28.3,
00515,45.46471,-68.83076,NY,83,78,80,65,68,78,59,28.3,25.6,26.7,18.3,20,25.6,15,
00516,44.42419,-68.89317,NY,82,74,66,68,68,65,67,27.8,23.3,18.9,20,20,18.3,19.4,
00517,43.98252,-67.33191,NY,75,68,75,84,84,79,58,23.9,20,23.9,28.9,28.9,26.1,14.4,
00518,44.34235,-71.00383,NY,87,81,70,74,74,67,79,30.6,27.2,21.1,23.3,23.3,19.4,26.1,
00519,45.23671,-68.83639,NY,72,64,74,66,70,63,73,22.2,17.8,23.3,18.9,21.1,17.2,22.8,
